name,cuisine,type,district,microdistict,avg_check,hours,WiFi(1/0),delivery(1/0),reviews,rating
Max burger,Американская,Фастфуд,Ленинский,Центр,800,16,0,0,1095,3.3
Али Бургер,Американская,Фастфуд,Первомайский,Центр,800,16,0,0,4856,4.6
KFC,Американская,Фастфуд,Первомайский,Керемет,800,16,0,0,4804,4.3
Эки Дос,Американская,Фастфуд,Октябрьский ,3 мкр,800,16,0,0,3424,2.6
Аль-Хаят,Американская,Фастфуд,Ленинский,Центр,800,16,0,0,20,4.2
2 Тандыра,Американская,Фастфуд,Первомайский,Центр,800,16,0,0,43,4.1
Инлаваш,Американская,Фастфуд,Ленинский,Центр,800,16,0,0,1157,2.6
ФСБиш,Американская,Фастфуд,Первомайский,Юг-2,800,16,0,0,195,4.1
Saffran,Американская,Фастфуд,Ленинский,Центр,800,16,0,0,151,3.9
Наш секретный ингредиент,Американская,Фастфуд,Октябрьский ,11 мкр,800,16,0,0,120,4.0
Kanat Сity,Американская,Фастфуд,Ленинский,Центр,800,16,0,0,48,5.0
Ихсан food,Американская,Фастфуд,Первомайский,Достук,800,16,0,0,12,3.6
Wok lagman,Американская,Фастфуд,Ленинский,Центр,800,16,0,0,5262,3.4
Doner na Chuee,Американская,Фастфуд,Ленинский,Рабочий городок ,800,16,0,0,326,3.4
ФудЗилла,Американская,Фастфуд,Ленинский,Центр,800,16,0,0,138,4.5
Kanat Сity,Американская,Фастфуд,Свердловский ,Восток 5,800,16,0,0,48,5.0
Беш манты,Американская,Фастфуд,Ленинский,Центр,800,16,0,0,2581,4.4
Аль-Хаят,Американская,Фастфуд,Первомайский,Центр,800,16,0,0,20,4.4
Мисс Курочка,Американская,Фастфуд,Ленинский,Центр,800,16,0,0,56,4.0
Wok lagman,Американская,Фастфуд,Октябрьский ,4 мкр,800,16,0,0,5262,3.2
Wasabi sushi,Японская,Ресторан,Октябрьский ,6 мкр,1500,16,1,1,2735,4.8
Dodo Pizza,Итальянская,Пиццерия,Первомайский,Центр,800,16,0,0,5428,4.8
Dodo Pizza,Итальянская,Пиццерия,Ленинский,Центр,800,16,0,0,5428,4.5
New York Pizza,Итальянская,Пиццерия,Первомайский,Достук ,800,16,0,0,184,4.5
Dodo Pizza,Итальянская,Пиццерия,Ленинский,Центр,800,16,0,0,5428,4.6
Dolce Vita,Смешанная,Пиццерия,Первомайский,Центр,800,16,0,0,239,4.0
Империя,Смешанная,Пиццерия,Октябрьский ,7 мкр,800,16,0,0,9951,3.0
Масахиро,Смешанная,Ресторан,Первомайский,Центр,1500,16,1,1,12139,4.9
Империя,Смешанная,Пиццерия,Первомайский,Достук,800,16,0,0,9951,4.5
Fresh box sushi,Японская,Бар,Ленинский,Центр,1200,24,1,0,7919,3.7
Шаурма на углях,Американская,Фастфуд,Первомайский,Керемет,800,16,0,0,348,1.8
Масахиро,Смешанная,Ресторан,Первомайский,Центр,1500,16,1,1,12139,4.7
Империя,Смешанная,Пиццерия,Ленинский,Центр,800,16,0,0,9951,3.1
Империя,Смешанная,Пиццерия,Первомайский,Юг-2,800,16,0,0,9951,3.4
Dodo Pizza,Итальянская,Пиццерия,Первомайский,Центр,800,16,0,0,5428,4.7
Суши Рай,Японская,Бар,Ленинский ,Джал,1200,24,1,0,117,4.2
Fresh box sushi,Японская,Бар,Свердловский ,Восток-5,1200,24,1,0,7919,3.6
Dodo Pizza,Итальянская,Пиццерия,Первомайский,Центр,800,16,0,0,5428,4.7
Dodo Pizza,Итальянская,Пиццерия,Первомайский,Центр,800,16,0,0,5428,4.5
Империя,Смешанная,Пиццерия,Октябрьский ,7 мкр,800,16,0,0,9951,3.6
Империя,Смешанная,Пиццерия,Ленинский,Центр,800,16,0,0,9951,3.4
Dodo Pizza,Итальянская,Пиццерия,Первомайский,Центр,800,16,0,0,5428,4.6
Dodo Pizza,Итальянская,Пиццерия,Первомайский,Центр,800,16,0,0,5428,4.8
Масахиро,Смешанная,Ресторан,Ленинский,Центр,1500,16,1,1,12139,4.8
Империя,Смешанная,Пиццерия,Первомайский,Центр,800,16,0,0,9951,2.8
Масахиро,Смешанная,Ресторан,Октябрьский ,11 мкр,1500,16,1,1,12139,4.8
Сушико,Американская,Фастфуд,Октябрьский ,7 мкр,800,16,0,0,14,4.3
Chefstil,Смешанная,Пиццерия,Первомайский,Центр,800,16,0,0,34,4.9
Масахиро,Смешанная,Ресторан,Первомайский,Центр,1500,16,1,1,12139,4.7
La Dolce Vita,Смешанная,Пиццерия,Октябрьский ,6 мкр,800,16,0,0,415,3.8
Масахиро,Смешанная,Ресторан,Ленинский,Центр,1500,16,1,1,12139,4.9
La Dolce Vita,Смешанная,Пиццерия,Первомайский,Центр,800,16,0,0,415,3.9
Dodo Pizza,Итальянская,Пиццерия,Октябрьский ,4 мкр ,800,16,0,0,5428,4.6
Империя,Смешанная,Пиццерия,Ленинский,Центр,800,16,0,0,9951,4.1
Fresh box sushi,Японская,Бар,Свердловский ,Восток-5 ,1200,24,1,0,7919,4.0
Масахиро,Смешанная,Ресторан,Октябрьский ,6 мкр,1500,16,1,1,12139,4.8
Jax pizza,Итальянская,Пиццерия,Октябрьский ,11 мкр ,800,16,0,0,578,3.4
Embassy,Смешанная,Ресторан,Октябрьский ,Асанбай ,1500,16,1,1,168,4.9
Crazy Brothers,Смешанная,Пиццерия,Первомайский,Центр,800,16,0,0,59,4.2
Dodo Pizza,Итальянская,Пиццерия,Ленинский,Арча-Бешик,800,16,0,0,5428,4.8
Империя,Смешанная,Пиццерия,Первомайский,Центр,800,16,0,0,9951,3.5
Sushi Line,Японская,Бар,Первомайский,Центр,1200,24,1,0,34,4.9
Dodo Pizza,Итальянская,Пиццерия,Свердловский ,Восток-5,800,16,0,0,5428,4.7
